CrashID,CrashMasterFile,Lat,Long,rtunique,CurvePresent,GradePresent,BadVisibility,BadWeather,WetRdway,VOSh,Congestion,Speed,Sphr,P_N,VehicleDefect,WorkZone,Animal/Debris,SlipperySurf/WaterPooling,Impaired,Dstracted,Inattention,DrivingTooFast,RightOfWay,ImproperManeuver,FollowTooClose
10059,72260595,37.31749,-85.90517,050-I-0065-000,0,0,0,1,1,0,0,69.68,No,No,0,0,0,0,0,0,0,0,0,0,0
10060,72260596,37.13781,-85.97569,005-I-0065-010,0,0,0,1,1,1,0,67.49,No,No,0,0,0,0,0,0,0,1,0,0,0
10061,72260609,37.21442,-84.19758,063-I-0075-000,1,1,1,1,1,1,0,61.86,No,No,0,0,0,0,0,0,1,0,0,0,0
10062,72260616,38.91787,-84.62927,008-I-0075-010,0,0,0,0,0,0,0,69.24,No,No,0,0,0,0,0,0,1,0,0,0,0
10063,72260621,37.68739,-85.84273,047-I-0065-010,1,0,0,1,1,1,0,56.55,No,No,0,1,0,0,1,0,1,0,0,1,0
10064,72260649,39.09003,-84.52267,059-I-0075-010,0,0,1,0,0,0,,,Yes,,0,0,0,0,0,0,0,0,0,0,0
10065,72260665,38.10563,-84.49723,034-I-0075-000,0,0,1,0,0,0,0,66.28,No,No,0,0,0,0,0,0,0,0,0,0,0
10066,72260668,37.56269,-85.87572,047-I-0065-000,0,0,0,0,0,1,1,19.64,No,No,0,0,0,0,0,0,1,0,0,0,0
10067,72260693,36.97883,-86.39052,114-I-0065-010,0,0,1,1,1,1,0,67.95,No,No,0,0,0,1,0,0,0,0,0,1,0
10068,72260694,37.00231,-86.37305,114-I-0065-000,0,0,1,1,1,0,0,56.75,No,No,0,0,0,1,0,0,0,0,0,1,0
10069,72260720,37.23036,-84.22284,063-I-0075-010,0,0,1,0,0,0,1,6.63,No,No,0,0,0,0,0,0,1,0,0,0,0
10070,72260730,39.05076,-84.56827,059-I-0075-010,0,0,1,1,1,0,0,52.33,No,No,0,0,0,0,0,0,0,0,0,1,0
